Contest Title,Contest Long Name,Party,District Type,Vote For,Term Number,Notes
Judge of Elections,REP Judge of Elections 110 Coatesville 4-2,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 120 Coatesville 5,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 120 Coatesville 5,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 140 S Coatesville,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 140 S Coatesville,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 145 N Coventry E,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 145 N Coventry E,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 150 N Coventry M,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 150 N Coventry M,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 155 N Coventry W-1,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 155 N Coventry W-1,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 165 E Coventry 2,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 165 E Coventry 2,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 175 E Downingtown E,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 175 E Downingtown E,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 180 E Downingtown W,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 180 E Downingtown W,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 185 W Downingtown N,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 185 W Downingtown N,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 201 Easttown 3,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 201 Easttown 3,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 210 Easttown 6,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 210 Easttown 6,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 225 E Fallowfield E,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 225 E Fallowfield E,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 230 E Fallowfield W,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 230 E Fallowfield W,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 235 W Fallowfield,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 235 W Fallowfield,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 246 E Goshen 4,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 246 E Goshen 4,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 249 E Goshen 7,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 249 E Goshen 7,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 251 E Goshen 9,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 251 E Goshen 9,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 265 W Goshen M-1,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 265 W Goshen M-1,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 270 W Goshen M-2,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 270 W Goshen M-2,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 286 W Goshen S-4,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 286 W Goshen S-4,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 305 Kennett Square N,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 305 Kennett Square N,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 310 Kennett Square S-1,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 310 Kennett Square S-1,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 315 Kennett Square S-2,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 315 Kennett Square S-2,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 328 Kennett Township 3,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 328 Kennett Township 3,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 345 London Grove S,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 345 London Grove S,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 355 E Marlborough E,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 355 E Marlborough E,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 356 E Marlborough S,Democratic,Local,1,4,
