Full Name,Contest Long Name,Vote For,Term Number,Candidate Order
Peter K. Witzleb,REP School Director Downingtown Region 8,1,4,1
Eileen Olsen,REP School Director Downingtown Region 8,1,4,2
Mindy Ross,REP School Director Downingtown Region 8,1,4,3
Lorie Sollenberger,REP School Director Great Valley Region 2,1,4,1
Justin J. Pak,REP School Director Great Valley Region 3,1,4,1
Tricia Bliven-Chasinoff,REP School Director Great Valley Region 3,1,4,2
Ann Parry,REP School Director Kennett Consolidated Region A,1,4,1
Jamie Blevins Raign,REP School Director Kennett Consolidated Region B,1,4,1
Dinamarie D. Vonover,REP School Director Kennett Consolidated Region B,1,4,2
Jennifer Kehs,REP School Director Oxford Region 1,1,4,1
Andrew Peters,REP School Director Oxford Region 1,1,4,2
John Deecki,REP School Director Oxford Region 2,1,4,1
Mary Higgins,REP School Director Oxford Region 2,1,4,2
Michael Blessington,REP School Director Oxford Region 3,1,4,1
Yami Fernández,REP School Director Oxford Region 3,1,4,2
Nicole Scherer,REP School Director Tredyffrin Easttown Region 1,1,4,1
Eric Marturano,REP School Director Tredyffrin Easttown Region 1,1,4,2
Juliet Cordeiro,REP School Director Tredyffrin Easttown Region 2,1,4,1
Gary R. McEwen,REP School Director Twin Valley Region 3,1,4,1
Jewell Parkinson,REP School Director West Chester Region 1,1,4,1
Karen Fleming,REP School Director West Chester Region 2,1,4,1
Elizabeth Brindle,DEM School Director Unexpired 2 Year Term Coatesville Region 2,1,2,1
Michael Hoffman,DEM School Director Unexpired 2 Year Term Octorara Region 1,1,2,1
Hillary Prickett,DEM School Director Unexpired 2 Year Term Octorara Region 1,1,2,2
Sean T. Grugan,DEM School Director Unexpired 2 Year Term Oxford Region 2,1,2,1
Elizabeth Brindle,REP School Director Unexpired 2 Year Term Coatesville Region 2,1,2,1
Hillary Prickett,REP School Director Unexpired 2 Year Term Octorara Region 1,1,2,1
Michael Hoffman,REP School Director Unexpired 2 Year Term Octorara Region 1,1,2,2
"Chauncey W. Boyd, Jr.",REP School Director Unexpired 2 Year Term Oxford Region 2,1,2,1
Sean T. Grugan,REP School Director Unexpired 2 Year Term Oxford Region 2,1,2,2
Sheryl Willson,DEM Auditor E Brandywine Township,1,6,1
Mark G. Hardin,DEM Auditor E Nantmeal Township,1,6,1
Russell D. Paul,DEM Auditor New Garden Township,1,6,1
