Contest Title,Contest Long Name,Party,District Type,Vote For,Term Number,Notes
Auditor,REP Auditor Charlestown Township,Republican,Municipal,1,6,
Auditor,DEM Auditor N Coventry Township,Democratic,Municipal,1,6,
Auditor,REP Auditor N Coventry Township,Republican,Municipal,1,6,
Auditor,DEM Auditor S Coventry Township,Democratic,Municipal,1,6,
Auditor,REP Auditor S Coventry Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Easttown Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Easttown Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Elk Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Elk Township,Republican,Municipal,1,6,
Auditor,DEM Auditor E Fallowfield Township,Democratic,Municipal,1,6,
Auditor,REP Auditor E Fallowfield Township,Republican,Municipal,1,6,
Auditor,DEM Auditor W Fallowfield Township,Democratic,Municipal,1,6,
Auditor,REP Auditor W Fallowfield Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Franklin Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Franklin Township,Republican,Municipal,1,6,
Auditor,DEM Auditor E Goshen Township,Democratic,Municipal,1,6,
Auditor,REP Auditor E Goshen Township,Republican,Municipal,1,6,
Auditor,DEM Auditor W Goshen Township,Democratic,Municipal,1,6,
Auditor,REP Auditor W Goshen Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Highland Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Highland Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Honey Brook Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Honey Brook Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Kennett Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Kennett Township,Republican,Municipal,1,6,
Auditor,DEM Auditor London Britain Township,Democratic,Municipal,1,6,
Auditor,REP Auditor London Britain Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Londonderry Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Londonderry Township,Republican,Municipal,1,6,
Auditor,DEM Auditor London Grove Township,Democratic,Municipal,1,6,
Auditor,REP Auditor London Grove Township,Republican,Municipal,1,6,
Auditor,DEM Auditor E Marlborough Township,Democratic,Municipal,1,6,
Auditor,REP Auditor E Marlborough Township,Republican,Municipal,1,6,
Auditor,DEM Auditor W Marlborough Township,Democratic,Municipal,1,6,
Auditor,REP Auditor W Marlborough Township,Republican,Municipal,1,6,
Auditor,DEM Auditor E Nantmeal Township,Democratic,Municipal,1,6,
Auditor,REP Auditor E Nantmeal Township,Republican,Municipal,1,6,
Auditor,DEM Auditor W Nantmeal Township,Democratic,Municipal,1,6,
Auditor,REP Auditor W Nantmeal Township,Republican,Municipal,1,6,
Auditor,DEM Auditor New Garden Township,Democratic,Municipal,1,6,
"CHESTER COUNTY, PENNSYLVANIA
UNOFFICIAL LIST OF OFFICES
MAY 20, 2025 Municipal Primary",,,,,,
Contest Title,Contest Long Name,Party,District Type,Vote For,Term Number,Notes
Auditor,REP Auditor New Garden Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Newlin Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Newlin Township,Republican,Municipal,1,6,
Auditor,DEM Auditor E Nottingham Township,Democratic,Municipal,1,6,
Auditor,REP Auditor E Nottingham Township,Republican,Municipal,1,6,
Auditor,DEM Auditor W Nottingham Township,Democratic,Municipal,1,6,
Auditor,REP Auditor W Nottingham Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Lower Oxford Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Lower Oxford Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Upper Oxford Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Upper Oxford Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Penn Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Penn Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Pennsbury Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Pennsbury Township,Republican,Municipal,1,6,
Auditor,DEM Auditor E Pikeland Township,Democratic,Municipal,1,6,
Auditor,REP Auditor E Pikeland Township,Republican,Municipal,1,6,
Auditor,DEM Auditor W Pikeland Township,Democratic,Municipal,1,6,
Auditor,REP Auditor W Pikeland Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Pocopson Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Pocopson Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Sadsbury Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Sadsbury Township,Republican,Municipal,1,6,
Auditor,DEM Auditor W Sadsbury Township,Democratic,Municipal,1,6,
Auditor,REP Auditor W Sadsbury Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Spring City Borough,Democratic,Municipal,1,6,
Auditor,REP Auditor Spring City Borough,Republican,Municipal,1,6,
Auditor,DEM Auditor Thornbury Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Thornbury Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Uwchlan Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Uwchlan Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Upper Uwchlan Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Upper Uwchlan Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Valley Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Valley Township,Republican,Municipal,1,6,
Auditor,DEM Auditor E Vincent Township,Democratic,Municipal,1,6,
Auditor,REP Auditor E Vincent Township,Republican,Municipal,1,6,
Auditor,DEM Auditor W Vincent Township,Democratic,Municipal,1,6,
Auditor,REP Auditor W Vincent Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Wallace Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Wallace Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Warwick Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Warwick Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Westtown Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Westtown Township,Republican,Municipal,1,6,
Auditor,DEM Auditor E Whiteland Township,Democratic,Municipal,1,6,
Auditor,REP Auditor E Whiteland Township,Republican,Municipal,1,6,
Auditor,DEM Auditor W Whiteland Township,Democratic,Municipal,1,6,
Auditor,REP Auditor W Whiteland Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Willistown Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Willistown Township,Republican,Municipal,1,6,
"CHESTER COUNTY, PENNSYLVANIA
UNOFFICIAL LIST OF OFFICES
MAY 20, 2025 Municipal Primary",,,,,,
Contest Title,Contest Long Name,Party,District Type,Vote For,Term Number,Notes
Auditor Unexpired 4 Year Term,DEM Auditor Unexpired 4 Year Term Birmingham Township,Democratic,Municipal,1,4,
Auditor Unexpired 4 Year Term,REP Auditor Unexpired 4 Year Term Birmingham Township,Republican,Municipal,1,4,
Auditor Unexpired 4 Year Term,DEM Auditor Unexpired 4 Year Term E Brandywine Township,Democratic,Municipal,1,4,
Auditor Unexpired 4 Year Term,REP Auditor Unexpired 4 Year Term E Brandywine Township,Republican,Municipal,1,4,
Auditor Unexpired 4 Year Term,DEM Auditor Unexpired 4 Year Term Charlestown Township,Democratic,Municipal,1,4,
Auditor Unexpired 4 Year Term,REP Auditor Unexpired 4 Year Term Charlestown Township,Republican,Municipal,1,4,
Auditor Unexpired 4 Year Term,DEM Auditor Unexpired 4 Year Term E Fallowfield Township,Democratic,Municipal,1,4,
Auditor Unexpired 4 Year Term,REP Auditor Unexpired 4 Year Term E Fallowfield Township,Republican,Municipal,1,4,
Auditor Unexpired 4 Year Term,DEM Auditor Unexpired 4 Year Term Sadsbury Township,Democratic,Municipal,1,4,
Auditor Unexpired 4 Year Term,REP Auditor Unexpired 4 Year Term Sadsbury Township,Republican,Municipal,1,4,
Auditor Unexpired 4 Year Term,DEM Auditor Unexpired 4 Year Term E Vincent Township,Democratic,Municipal,1,4,
Auditor Unexpired 4 Year Term,REP Auditor Unexpired 4 Year Term E Vincent Township,Republican,Municipal,1,4,
Auditor Unexpired 2 Year Term,DEM Auditor Unexpired 2 Year Term London Britain Township,Democratic,Municipal,1,2,
Auditor Unexpired 2 Year Term,REP Auditor Unexpired 2 Year Term London Britain Township,Republican,Municipal,1,2,
Auditor Unexpired 2 Year Term,DEM Auditor Unexpired 2 Year Term London Grove Township,Democratic,Municipal,1,2,
Auditor Unexpired 2 Year Term,REP Auditor Unexpired 2 Year Term London Grove Township,Republican,Municipal,1,2,
Auditor Unexpired 2 Year Term,DEM Auditor Unexpired 2 Year Term E Marlborough Township,Democratic,Municipal,1,2,
Auditor Unexpired 2 Year Term,REP Auditor Unexpired 2 Year Term E Marlborough Township,Republican,Municipal,1,2,
Auditor Unexpired 2 Year Term,DEM Auditor Unexpired 2 Year Term Penn Township,Democratic,Municipal,1,2,
Auditor Unexpired 2 Year Term,REP Auditor Unexpired 2 Year Term Penn Township,Republican,Municipal,1,2,
Auditor Unexpired 2 Year Term,DEM Auditor Unexpired 2 Year Term Pennsbury Township,Democratic,Municipal,1,2,
Auditor Unexpired 2 Year Term,REP Auditor Unexpired 2 Year Term Pennsbury Township,Republican,Municipal,1,2,
Auditor Unexpired 2 Year Term,DEM Auditor Unexpired 2 Year Term Upper Uwchlan Township,Democratic,Municipal,1,2,
Auditor Unexpired 2 Year Term,REP Auditor Unexpired 2 Year Term Upper Uwchlan Township,Republican,Municipal,1,2,
Auditor Unexpired 2 Year Term,DEM Auditor Unexpired 2 Year Term Wallace Township,Democratic,Municipal,1,2,
Auditor Unexpired 2 Year Term,REP Auditor Unexpired 2 Year Term Wallace Township,Republican,Municipal,1,2,
Auditor Unexpired 2 Year Term,DEM Auditor Unexpired 2 Year Term E Whiteland Township,Democratic,Municipal,1,2,
Auditor Unexpired 2 Year Term,REP Auditor Unexpired 2 Year Term E Whiteland Township,Republican,Municipal,1,2,
Auditor Unexpired 2 Year Term,DEM Auditor Unexpired 2 Year Term W Whiteland Township,Democratic,Municipal,1,2,
Auditor Unexpired 2 Year Term,REP Auditor Unexpired 2 Year Term W Whiteland Township,Republican,Municipal,1,2,
Member of Council,DEM Member of Council S Coatesville Borough,Democratic,Municipal,4,4,
Member of Council,REP Member of Council S Coatesville Borough,Republican,Municipal,4,4,
Member of Council,DEM Member of Council Elverson Borough,Democratic,Municipal,4,4,
Member of Council,REP Member of Council Elverson Borough,Republican,Municipal,4,4,
Member of Council,DEM Member of Council Honey Brook Borough,Democratic,Municipal,4,4,
Member of Council,REP Member of Council Honey Brook Borough,Republican,Municipal,4,4,
Member of Council,DEM Member of Council Kennett Square Borough,Democratic,Municipal,4,4,
Member of Council,REP Member of Council Kennett Square Borough,Republican,Municipal,4,4,
Member of Council,DEM Member of Council Oxford Borough,Democratic,Municipal,4,4,
Member of Council,REP Member of Council Oxford Borough,Republican,Municipal,4,4,
Member of Council,DEM Member of Council Parkesburg Borough,Democratic,Municipal,4,4,
Member of Council,REP Member of Council Parkesburg Borough,Republican,Municipal,4,4,
Member of Council,DEM Member of Council Spring City Borough,Democratic,Municipal,4,4,
Member of Council,REP Member of Council Spring City Borough,Republican,Municipal,4,4,
Member of Council,DEM Member of Council Atglen Borough,Democratic,Municipal,3,4,
Member of Council,REP Member of Council Atglen Borough,Republican,Municipal,3,4,
Member of Council,DEM Member of Council Avondale Borough,Democratic,Municipal,3,4,
Member of Council,REP Member of Council Avondale Borough,Republican,Municipal,3,4,
Member of Council,DEM Member of Council Malvern Borough,Democratic,Municipal,3,4,
Member of Council,REP Member of Council Malvern Borough,Republican,Municipal,3,4,
Member of Council,DEM Member of Council Modena Borough,Democratic,Municipal,3,4,
"CHESTER COUNTY, PENNSYLVANIA
UNOFFICIAL LIST OF OFFICES
MAY 20, 2025 Municipal Primary",,,,,,
Contest Title,Contest Long Name,Party,District Type,Vote For,Term Number,Notes
Member of Council,REP Member of Council Modena Borough,Republican,Municipal,3,4,
Member of Council,DEM Member of Council W Grove Borough,Democratic,Municipal,3,4,
Member of Council,REP Member of Council W Grove Borough,Republican,Municipal,3,4,
Member of Council At Large,DEM Member of Council At Large City Of Coatesville,Democratic,Municipal,2,4,
Member of Council At Large,REP Member of Council At Large City Of Coatesville,Republican,Municipal,2,4,
Member of Council,DEM Member of Council Downingtown W Ward,Democratic,Ward,2,4,
Member of Council,REP Member of Council Downingtown W Ward,Republican,Ward,2,4,
Member of Council,DEM Member of Council Coatesville 2nd Ward,Democratic,Ward,1,4,
Member of Council,REP Member of Council Coatesville 2nd Ward,Republican,Ward,1,4,
Member of Council,DEM Member of Council Coatesville 4th Ward,Democratic,Ward,1,4,
